org_name,org_alt_name,ein_num,bio,city,state,assets,income,mission_statement,facebook_link,twitter_link,youtube_link,instagram_link,linkedin_link,twitter_handle
The BTS Center,The BTS Center,01-0211484,"['to this work of cultivating and nurturing spiritual leadership for a <em>climate-changed</em> world. The BTS Center has brought a research lens to its work with the year-long EcoPreacher Cohort and the year-long Small Church Leadership Community, asking questions about congregational and clergy understandings of vocation in a <em>climate-changed</em> world. With roots dating back to 1905, Convocation is The BTS Center', 'workshops and retreats, learning cohorts, courses, public conversations, and projects of applied research, all focused around spiritual leadership for a <em>climate-changed</em> world. clergy']",Portland,ME,19264884.0,5187917.0,"Our mission is to catalyze spiritual imagination with enduring wisdom for transformative faith leadership.
With roots dating back to 1814, The BTS Center is a private foundation in Portland, Maine, building on the legacy of the former Bangor Theological Seminary. Guided by the vision of human hearts renewed, justice established, and creation restored, The BTS Center offers theologically grounded programs of spiritual-vocational formation, including workshops and retreats, learning cohorts, courses, public conversations, and projects of applied research, all focused around spiritual leadership for a climate-changed world.",https://facebook.com/thebtscenter,,https://youtube.com/@TheBTSCenter,https://instagram.com/thebtscenter,https://linkedin.com/company/the-bts-center-maine/,
"Natural Resources Council, Inc.",Natural Resources Council of Maine (NRCM),01-0270690,"[' <em>climate change,</em> land conservation, North Woods, watersheds, clean air and water, environmental advocacy, reducing toxics, sustainability, clean energy, energy efficiency, recycling, product stewardship, Environment', "" The Natural Resources Council of Maine (NRCM) focuses on five issue areas vital to the health of Maine's environment and economy: 1. Addressing <em>climate change</em> through renewable energy, efficiency, and clean transportation; 2. Restoration of Maine’s rivers, lakes, streams and coastal waters; 3. Conservation of Maine’s forests and wildlife; 4. Promoting""]",Augusta,ME,16954043.0,5225475.0,"Founded in 1959, the Natural Resources Council of Maine is a nonprofit membership organization working to protect, restore and conserve Maine's environment, now and for future generations.",https://facebook.com/NRCMenvironment,https://twitter.com/NRCMenvironment,https://youtube.com/NRCMenvironment,https://instagram.com/nrcmenvironment,https://linkedin.com/company/https://www.linkedin.com/company/natural-resources-council-of-maine/,nrcmenvironment
Unity Environmental University,,01-0275130,"['environmental, hands-on, personal, supportive community, online, technology, accessible, affordable, flexible, sustainability science, Education, Higher education, Environment, Environmental justice, <em>Climate change,</em> Natural resources, Environmental education, Agriculture, fishing and forestry, Community and economic development, Economic development, Employment, Job training, Job creation and workforce development', ', agroforestry, regenerative tourism, sustainable business management, environmental science and <em>climate change,</em> and wildlife conservation. Unity is proud to be a diverse and inclusive community that values academic excellence, social responsibility, and environmental awareness.Working on systems <em>change,</em> we focus on removing barriers to postsecondary completion, reaching non-traditional and under-represented']",New Gloucester,ME,75280623.0,68339505.0,"Mission: We are dedicated to delivering quality education and experiences that produce outstanding environmentally competent professionals and inspire individuals from all walks of life to steward sustainable ecosystems.
Vision: A multifaceted organization recognized as the thought leader in global ecological, economic, and societal solutions.",https://facebook.com/https://www.facebook.com/UnityCollege,https://twitter.com/https://twitter.com/unitycollege,https://youtube.com/https://www.youtube.com/channel/UCnu3zjCiaDU4ju3z-cTu-gg,https://instagram.com/unityonsocial,https://linkedin.com/company/https://www.linkedin.com/school/unity-college/,unitycollege
Maine Lakes Society,Maine Lakes,01-0322800,"[' conservation, lakes, water quality, <em>climate change,</em> education, advocacy, Environment, Natural resources, Water resources, Rivers and lakes, Age groups, Children and youth, Adults, Non-governmental organizations, Public charities', ' on their properties that better protect lake water quality by reducing the amount of nutrient pollution and other toxins that reach lake waters. This has never been a more important effort, as <em>climate change</em> impacts such as warming lake waters and more frequent and intense storms are an ever greater risk to lake water quality. The LakeSmart program engages several dozen volunteer evaluators each year']",Belgrade Lakes,ME,205985.0,237055.0,"Through science-based action, education and advocacy, we work to protect and preserve the values and benefits of Maine’s lakes, ponds, and watersheds for future generations. We've been doing this since our founding in 1970 as the Congress of Lake Associations.",https://facebook.com/https://www.facebook.com/formainelakes/,,https://youtube.com/https://www.youtube.com/@mainelakes5579/featured,https://instagram.com/https://instagram.com/maine_lakes?igshid=Zjc2ZTc4Nzk=,,
Oceanside Conservation Trust of Casco Bay,,01-0376587,"[' <em>Climate Change</em> Observatory Network is a photo monitoring program designed to work with environmental organizations and communities to assist with the observation, measurement and documentation of long-term <em>climate change</em> trends. Using participatory tools and collaborative partnerships, the program brings people with various perspectives and knowledge together to co-learn about <em>climate change</em> and', 'participation in <em>climate change</em> study, develops an interest and community ownership in <em>climate</em> action, and inspires collaboration amongst community stakeholders to develop adaptation strategies and solutions.Oceanside is  expanding the observation network for two sites that will start a program with the school children on Long and Great Diamond Islands in Casco Bay to get them involved with <em>climate change,</em> i.e.']",Portland,ME,2323883.0,719557.0,"The mission of Oceanside Conservation Trust of Casco Bay is to facilitate the conservation of wild or undeveloped open space, scenic areas, and historic landmarks in the Casco Bay region; foster low-impact and respectful access to these resources; and enhance the cultural, economic and civil well-being of residents and visitors.",https://facebook.com/https://www.facebook.com/Oceanside-Conservation-Trust-of-Casco-Bay-114990173752756,,,,,
LAUDHOLM TRUST,,01-0380763,"[' wells reserve, laudholm, environment, history, water, estuary, marsh, historical, children, research, Arts and culture, Historical activities, Historic preservation, Environment, <em>Climate change,</em> Natural resources, Water resources, Oceans and coastal waters, Environmental education, Science, Biology, Ecology, Age groups, Children and youth, Children, Adolescents, Adults, Work status and']",Wells,ME,11057109.0,1003175.0,"To raise financial and community support for the Wells Reserve at Laudholm and Maine’s coastal environment.
Laudholm Trust provides vital monetary and in-kind support for programs, operations, and capital improvements at the Wells National Estuarine Research Reserve on the southwest coast of Maine. Our donors enable us to be a reliable partner to the Wells Reserve and an advocate for cultural preservation and coastal protection.",https://facebook.com/https://www.facebook.com/wellsreserve/,,https://youtube.com/https://www.youtube.com/user/wellsreserve,https://instagram.com/https://www.instagram.com/wellsreserve/,https://linkedin.com/company/https://www.linkedin.com/company/2480241,
PHYSICIANS FOR SOCIAL RESPONSIBILITY MAINE,Physicians for Social Responsibility Maine Chapter or PSR Maine,01-0383549,"['of <em>climate</em> adaptation as it relates to public health.We are committed to raising awareness around the issue of the health effects of <em>climate change,</em> and in keeping with our mission, we will also advocate for <em>climate change</em> mitigation and adaptation public policy locally and nationally as it relates to the health of Maine citizens. We strive to be the public health source and expertise on <em>climate</em> mitigation', ' Since the release in 2000, of PSR Maine’s report ""Death by Degrees:  The Emerging Health Crisis of <em>Climate Change</em> in Maine” (which was updated in 2015) much of what we know about <em>climate</em> has']",Augusta,ME,0.0,0.0,PSR Maine is an organization of medical and healthcare professionals and advocates that uses medical science to reveal the health consequences of public policy decisions.,https://facebook.com/PSRMaine,https://twitter.com/PSRMaine,,,,psrmaine
Mahoosuc Land Trust Inc,,01-0447619,"[' land conservation nature education land stewardship <em>climate</em> resiliency, Education, Education services, Environment, Natural resources, Land resources, Age groups, Children and youth, Adults, Non-governmental organizations, Public charities']",Bethel,ME,6639698.0,1493762.0,To conserve and share the Mahoosuc region's important natural lands with our communities now and for the future.,,,,,,
Shaw Institute,MERI,01-0455007,"['  Marine, Environmental, Research,Education, Marine Research,Ocean Research, Environmental Research, Human Health, Human Health Research, Environment, <em>Climate change,</em> Natural resources, Water resources, Environmental education, Science, Physical and earth sciences, Marine science, Biology, Family relationships, Families, Ethnic and racial groups, Indigenous ', ' 501(c)3 nonprofit scientific organization dedicated to researching environmental health and establishing its connection to human populations. The Institute produces scientific research that drives <em>change</em> and inspires solutions to the pressing environmental issues of our day. From flame retardants to plastics, our discoveries have informed public opinion and fueled key legislation, which impacts millions']",Blue Hill,ME,604669.0,517126.0,"The Shaw Institute is a 501(c)3 nonprofit scientific organization dedicated to researching environmental health and establishing its connection to human populations. The Institute produces scientific research that drives change and inspires solutions to the pressing environmental issues of our day. From flame retardants to plastics, our discoveries have informed public opinion and fueled key legislation, which impacts millions of people in Maine and across the country. Through public outreach, we connect with community members, from children to lifelong learners, to help create an understanding as to how anyone make a positive impact on the planet.",https://facebook.com/shawresearch/,https://twitter.com/shawinstitute?lang=en,https://youtube.com/channel/UCO3fBODqrcrXwk5z4TeX4-g,https://instagram.com/shawinstitute/?hl=en,https://linkedin.com/company/shaw-institute,shawinstitute
Regulatory Assistance Project,RAP,01-0471151,"[' Clean energy, Environment, <em>Climate change,</em> Natural resources, Energy resources, Energy efficiency, Renewable energy, Health, Public health, Environmental health, Public affairs, Public utilities, Age groups, Adults, Social and economic ', ' RAP fosters innovative research and provides training and technical assistance to energy regulators and decisionmakers. We stimulate robust public discourse on the policies needed to meet India’s <em>climate</em> and clean energy goals. More recently, RAP is expanding this type of work to global energy markets beyond India, Europe, China, and the U.S. We are actively supporting opportunities for regulatory ']",Montpelier,VT,12227815.0,11298973.0,"Regulatory Assistance Project (RAP)® is an independent, global organization advancing policy innovation, education, and thought leadership within the energy community to create a clean, reliable, equitable, and cost-efficient energy future.
RAP's international team of experts educates and partners with decisionmakers to develop data-informed, real-world solutions. We research and seek solutions that are not only cost-effective and reliable, but which also create stronger, more equitable communities. RAP educates policymakers and helps them navigate the complex world of clean energy policy creation and negotiation. Our teams focus on the four largest power markets responsible for half the world's power generation: China, Europe, India, and the United States.",,https://twitter.com/RegAssistProj,https://youtube.com/regassistproj,,https://linkedin.com/company/the-regulatory-assistance-project,regassistproj
"Rangeley Lakes Heritage Trust, Inc.",,01-0472641,"[' Rangeley Lakes, Land Trust, Land Conservation, Watershed, Environmental Education, Lake health, Environment, <em>Climate change,</em> Natural resources, Water resources, Rivers and lakes, Water conservation, Environmental education, Agriculture, fishing and forestry, Forestry, Sustainable forestry, Age groups, Children and youth']",Rangeley,ME,20625495.0,5435214.0,Rangeley Lakes Heritage Trust conserves and stewards the natural and historical resources of the Rangeley Lakes Region for the benefit of the community and future generations.,https://facebook.com/@Rlht.org,https://twitter.com/lakes_trust,https://youtube.com/channel/UCVTH70rqY_4SMvFMY2uVtPw,https://instagram.com/@rangeleyheritagetrust,,lakes
GULF OF MAINE RESEARCH INSTITUTE,GULF OF MAINE AQUARIUM,01-0504905,"['Science, Ocean, Marine, Coastal, <em>Climate,</em> Education, Seafood, Adaptation, Resilience, Sustainability, Youth, Teachers, Education, Environment, <em>Climate change,</em> Science, Physical and earth sciences, Marine science, Agriculture, fishing and forestry, Fishing and aquaculture, Age groups, Children and youth, Adults, Non-governmental organizations, Public charities', ""and help build companies alongside our strategic partners within the global seafood marketplace in service to our mission and the communities we serve. We support local, state, national, and global <em>climate</em> actions that will empower coastal communities to thrive in a warmer world. This interdisciplinary center leverages GMRI's unique mix of science, education, and community expertise to provide forward-looking""]",Portland,ME,50428548.0,23597528.0,The Gulf of Maine Research Institute (GMRI) develops and delivers collaborative solutions to global ocean challenges.,https://facebook.com/gulfofmaine,https://twitter.com/GMRI,https://youtube.com/user/DevelopmentGMRI,https://instagram.com/gulfofmaineresearchinstitute,https://linkedin.com/company/621037/,gmri
Acadia Center,"Environment Northeast, ENE",01-0518193,"['ANALYSISAcadia Center is a leader in preparing <em>climate</em> reports and other detailed analysis of clean energy and transportation solutions that show how states, provinces and the region can advance reforms to reduce emissions, including the first state <em>climate</em> roadmap (<em>Climate Change</em> Roadmap for Connecticut) in 2003; and the first regional <em>climate</em> roadmap (<em>Climate Change</em> Roadmap for New England and Eastern Canada', ' <em>climate change</em> solutions; sustainable energy policy; clean air; forest protection; transportation; energy']",Rockport,ME,3778311.0,1568647.0,"Acadia Center’s mission is to advance bold, effective, and equitable clean energy solutions for a livable climate and a stronger, more equitable economy. Acadia Center achieves change through thought leadership, analysis, advocacy, coalition building, and engagement with the public in the Northeast and beyond.",https://facebook.com/EnvironmentNortheast,https://twitter.com/AcadiaCtr,,https://instagram.com/acadia_center,https://linkedin.com/company/acadia-center,acadiactr
Maine Conservation Voters,MAINE CONSERVATION VOTERS,01-0536008,"['environment, maine, advocacy, politics, voting, policy, conservation, accountability, justice, equity, democracy, <em>climate,</em> <em>climate change,</em> <em>climate</em> crisis, Environment, Age groups, Adults, Non-governmental organizations']",Augusta,ME,922532.0,1453711.0,"Maine Conservation Voters protects Maine’s environment and our democracy by influencing public policy, holding politicians accountable, and winning elections. We have been working for more than 35 years to make conservation of Maine's extraordinary environment a priority for Maine voters, candidates, and elected officials.",https://facebook.com/MaineConservation,https://twitter.com/MCVoters,https://youtube.com/channel/UC2a0UE4qCWMTdVA4vnG7JcA,https://instagram.com/maineconservation,https://linkedin.com/company/maine-conservation-voters,mcvoters
Windustry,,01-0746862,"[' community renewable energy, wind energy, solar energy, rural economic development, distributed renewable energy, community wind, education, outreach, advocacy, <em>climate change,</em> clean energy, sustainable communities, micro-grids, storage, Environment, Natural resources, Energy resources, Renewable energy, Community and economic development, Economic development, Non-governmental']",Minneapolis,MN,68856.0,148181.0,"Windustry promotes sustainable energy solutions and empowers communities to develop and own clean energy assets. As an independent voice acting in support of communities, we work, through education, outreach and advocacy, to advance broad community ownership of renewable energy.",,,,,,
Pepperwood Foundation,Pepperwood,01-0817571,"['conservation, education, environment, science, research, Arts and culture, Environment, <em>Climate change,</em> Natural resources, Environmental education, Science, Land resources, Work status and occupations, Academics, Students, Farmers, Artists and performers, Non-governmental organizations, Public charities', ""take. We are thrilled that as an inspiring showcase of natural habitats, Pepperwood is igniting a love for learning for all ages! Pepperwood's Building <em>Climate</em> and Fire Resilience initiative is focused on increasing our resilience to accelerating <em>climate</em> and fire hazards while maintaining or enhancing the health of our watersheds and ecosystems. Our goal through this initiative is to take action now to""]",Santa Rosa,CA,33228180.0,3955489.0,Pepperwood's mission is to inspire conservation through science.,https://facebook.com/PepperwoodCA,https://twitter.com/PepperwoodCA,https://youtube.com/PepperwoodFoundation,https://instagram.com/pepperwoodpreserveca,https://linkedin.com/company/PepperwoodFoundation,pepperwoodca
Chesapeake Climate Action Network Action Fund Inc,,01-0879928,"[' Environment, <em>Climate change,</em> Human rights, Non-governmental organizations', 'URGENT GLOBAL ISSUE OF OUR TIME: THE <em>CLIMATE</em> CRISIS. IN PARTNERSHIP WITH THE CHESAPEAKE <em>CLIMATE</em> ACTION NETWORK (CCAN), WE FOCUS MOST OF OUR EFFORTS IN THE CHESAPEAKE BAY STATES OF MARYLAND, VIRGINIA, AND THE DISTRICT OF COLUMBIA. WE BELIEVE POSITIVE SOLUTIONS EXIST AND MUST BE EMBRACED NOW TO PRESERVE OUR PLANET FOR FUTURE GENERATIONS. Environment']",Takoma Park,MD,1221851.0,1441405.0,"THROUGH VOTER EDUCATION, LOBBYING, AND PARTICIPATION IN THE ELECTORAL PROCESS, CCAN ACTION FUND SEEKS TO MOVE OUR COUNTRY INTO A LEADERSHIP POSITION ON THE MOST URGENT GLOBAL ISSUE OF OUR TIME: THE CLIMATE CRISIS. IN PARTNERSHIP WITH THE CHESAPEAKE CLIMATE ACTION NETWORK (CCAN), WE FOCUS MOST OF OUR EFFORTS IN THE CHESAPEAKE BAY STATES OF MARYLAND, VIRGINIA, AND THE DISTRICT OF COLUMBIA. WE BELIEVE POSITIVE SOLUTIONS EXIST AND MUST BE EMBRACED NOW TO PRESERVE OUR PLANET FOR FUTURE GENERATIONS.",,,,,,
GROW FOOD NORTHAMPTON INC,Grow Food Northampton,01-0959428,"[' local food, food justice, food security, food access, farmland access, organic gardening, community garden, youth education, farm-based education, health education, <em>climate</em> research, Environment, <em>Climate change,</em> Environmental education, Outdoor education, Agriculture, fishing and forestry, Agriculture, Food security, Human rights, Social rights, Environmental and resource rights, Human ', 'for donation to local food pantries and community meal sites; • Grow scores of edible plants and trees for community foraging;• Conduct collaborative research projects with academics and others on <em>climate</em> resilience-enhancing agricultural practices; and • Provide extensive land- and food-based educational programming for children and adults.']",Florence,MA,1235360.0,733614.0,Grow Food Northampton’s mission is to create a just and resilient local food system that nourishes our community and protects and enriches the earth.,https://facebook.com/https://www.facebook.com/GrowFoodNorthampton,https://twitter.com/https://twitter.com/GrowFoodNton @GrowFoodNton,https://youtube.com/https://www.youtube.com/channel/UCNSwC_8MNPmoMk8GdamWoBA,https://instagram.com/@growfoodnorthampton @tuesdaymarket @freshhampton,https://linkedin.com/company/https://www.linkedin.com/company/5322495/,growfoodnton 
Young Voices On Climate Change,,01-0968441,"['TO CHAMPION YOUTH SUCCESS STORIES IN FIGHTING <em>CLIMATE CHANGE</em>', ' Environment, <em>Climate change,</em> Information and communications, News and public information, Journalism, Advocacy journalism, Age groups, Children and youth, Adolescents, Non-governmental organizations, Public charities']",Baltimore,MD,5074.0,6132.0,TO CHAMPION YOUTH SUCCESS STORIES IN FIGHTING CLIMATE CHANGE,,,,,,
Sustain Charlotte,,01-0975452,"[' sustainability, sustainable communities, environment, social, economic, transportation, <em>climate change,</em> transit, land use, sustainable development, parks, greenways, affordable housing, Environment, Public affairs, Community and economic development, Sports and recreation, Community recreation, Parks']",Charlotte,NC,974951.0,895977.0,"We inspire choices that lead to a healthy, equitable, and vibrant community for generations to come.",https://facebook.com/sustaincharlotte,https://twitter.com/sustain_clt,https://youtube.com/sustaincharlotte,https://instagram.com/sustain_clt,https://linkedin.com/company/sustaincharlotte,sustain
Somerset Woods Trustees,,01-6016350,"[' conservation, stewardship, connectivity, <em>climate</em> resilience, outdoor learning, Environment, Natural resources, Water resources, Land resources, Biodiversity, Agriculture, fishing and forestry, Forestry, Sports and recreation, Sports, Outdoor sports']",Skowhegan,ME,1474430.0,61961.0,"The mission of the Somerset Woods Trustees is to protect and conserve land with significant ecological or cultural resources in Somerset County, Maine, and manage them in a sustainable way for public benefit.",https://facebook.com/somersetwoodstrustees,,,https://instagram.com/somersetwoodstrustees,,
Mount Washington Observatory,,02-0225135,"[' Worst Weather, Research, Education, Weather Observation, <em>Climate Change,</em> Seek the Peak, hike,  Mount Washington, meteorology, Arts and culture, Museums, Science', ""to advance understanding of the natural systems that create the Earth's weather and <em>climate,</em> by maintaining its mountaintop weather station, conducting research and educational programs and interpreting the heritage of the Mount Washington region. Worst""]",North Conway,NH,9906612.0,6655638.0,"The Mount Washington Observatory is a private, non-profit scientific and educational institution organized under the laws of the state of New Hampshire. Its mission is to advance understanding of the natural systems that create the Earth's weather and climate, by maintaining its mountaintop weather station, conducting research and educational programs and interpreting the heritage of the Mount Washington region.",https://facebook.com/MWObs,https://twitter.com/mwobs,https://youtube.com/Mount Washington Observatory,https://instagram.com/mwobs,,mwobs
SustainUS,SUSTAINUS,02-0710054,"[' sustainable development, youth empowerment, youth, sustainability, environment, social justice, <em>climate,</em> <em>climate change,</em> Environment, Human services, Youth development, Youth organizing, Age groups, Children and youth, Non-governmental organizations, Public charities']",Grandville,MI,160884.0,109550.0,SustainUS is a youth-led organization advancing justice and sustainability by empowering young people to engage in advocacy at the domestic and international levels.,https://facebook.com/SustainUS,https://twitter.com/SustainUS,https://youtube.com/SustainUS,,https://linkedin.com/company/https://www.linkedin.com/company/624609/,sustainus
Climate Generation,,02-0712905,"[' <em>Climate change,</em> <em>climate change</em> education, Environmental education, advocacy, clean energy, youth leadership, <em>climate,</em> energy, <em>climate</em> literacy, <em>climate</em> justice, Environment, <em>Climate change,</em> Environmental education, Human services, Youth development, Civics for youth, Age groups, Children', 'interdisciplinary model of <em>climate change</em> education that engages all learners and fosters <em>climate</em> literacy and action. Our Youth program goal is to provide opportunities for high school students to engage as stakeholders in the just transition to a healthy and resilient <em>climate</em> future. Our Community Engagement Program engages individuals and business leaders in how to effectively engage in <em>climate change</em> solutions ']",Minneapolis,MN,1663331.0,1579278.0,"Climate Generation ignites and sustains the ability of educators, youth, and communities to act on systems perpetuating the climate crisis. For more than 15 years, we have been building climate literacy, amplifying personal connections to climate change, and developing powerful advocates among educators, youth, and communities through a model of collaboration and partnership.
Our work addresses climate change in three areas: education, youth activism, and community engagement. We integrate Western science with Indigenous ways of knowing, center justice and anti-racism, support the leadership of youth and frontline communities, and focus on solutions rather than relying on fear. Our vision is a just and abundant world beyond the climate crisis.",https://facebook.com/ClimateGen,https://twitter.com/ClimateGenOrg,,https://instagram.com/ClimateGenOrg,,climategenorg
AUDUBON SOCIETY OF NEW HAMPSHIRE,NH Audubon,02-6005322,"[' nonprofit; membership organization; protect natural environment; land management; conservation; environmental education; environmental policy; equity, Environment, <em>Climate change,</em> Biodiversity, Wildlife biodiversity, Bird preservation, Forest preservation, Forest management, Environmental education, Nature education, Science, Biology, Ecology, Natural resources, Age groups']",Concord,NH,20725286.0,4211387.0,The mission of New Hampshire Audubon is to protect New Hampshire's natural environment for wildlife and for people.,https://facebook.com/https://www.facebook.com/nh.audubon,https://twitter.com/@nhaudubon,https://youtube.com/https://www.youtube.com/user/newhampshireaudubon,https://instagram.com/nhaudubon,https://linkedin.com/company/new-hampshire-audubon,
INTERNATIONAL PEACE INSTITUTE INC,IPI,03-0213226,"['Peace and security, conflict resolution, conflict prevention, mediation, International, UN, United Nations, Africa, Asia, Middle East, think tank, policy research, public policy, sustaining peace, <em>climate change,</em> human rights, humanitarian affairs, Social sciences, Interdisciplinary studies, International studies, Community and economic development, Sustainable development, Human rights, Antidiscrimination', ""institutions, and to sustain peace in areas under stress. Through our work on peace, <em>climate,</em> and sustainable development, IPI endeavors to strategically support and provide thought leadership on <em>climate</em> action. This work includes projects on <em>Climate</em> Action through Diplomacy, Leadership, and Partnership; Youth, Peace, and <em>Climate</em> Action; and Universal Connectivity and Digital Inclusion. IPI's Women, Peace ""]",New York City,NY,9424200.0,6655547.0,"The International Peace Institute is an independent, non-profit organization working to strengthen inclusive multilateralism for a more peaceful and sustainable planet. Through its research, convening, and strategic advising, IPI provides innovative recommendations for the United Nations System, member states, regional organizations, civil society, and the private sector.",https://facebook.com/internationalpeaceinstitute,https://twitter.com/ipinst,https://youtube.com/ipinst,https://instagram.com/ipinst,https://linkedin.com/company/ipinst,ipinst
Vermont Public Interest Research Group Inc,VPIRG,03-0228267,"['Vermont, energy, global warming, health care, toxics, democracy, public interest, advocacy, environment, grassroots, <em>climate change,</em> clean energy, public policy, campaign finance, activism, PIRG, politics, non-partisan, Public affairs, Public policy, Community and economic development, Business and industry, Human rights, Public safety, Consumer protection, Non-governmental organizations, Public charities', 'educating members on, and recruiting them to join, our ""Keep Vermont Cool"" <em>climate</em> campaign. *** VPIRG continues to serve as the go-to resource for individuals and groups to learn about public interest policy issues and opportunities for making their voices heard on issues at critical times throughout the year. <em>CLIMATE</em> AND ENERGY Our <em>Climate</em> &amp; Energy work is driven by the understanding that we must fully decarbonize']",Montpelier,VT,2460530.0,1461902.0,"Since 1972, VPIRG has brought the voice of average Vermont citizens to public policy debates concerning the environment, energy, health care, consumer protection and democracy. VPIRG's mission is to promote and protect the health of Vermont's people, environment and locally-based economy by informing and mobilizing citizens statewide. By conducting research, engaging the media, informing the public and mobilizing citizens to participate in public policy debates, VPIRG's work has resulted in precedent-setting policies that have advanced environmental protection, universal health care, a fair marketplace and good government in Vermont.",,,,,,
Vermont Land Trust,VLT,03-0264836,"['recreation, <em>climate</em> adaptation, , Environment, Agriculture, fishing and forestry, Agriculture, Food security, Forestry, Natural resources, Land resources, Ethnic and racial groups, Indigenous peoples, American Indians, Social and economic status, Immigrants and migrants, Work status and occupations, Farmers, Non-governmental organizations, Public charities', ' Advance promising natural <em>climate</em> solutions ']",Montpelier,VT,53156980.0,19110348.0,"Rooted in Vermont since 1977, Vermont Land Trust unites land and lives for the enduring benefit of people and the place we share. We have conserved farms, forests, trails, and natural areas covering over 11% of the state—land that contributes to our abundance of food and forest products, tourism and recreation, and community vitality. Partnering with landowners, communities, and all Vermonters, we work for a future where land and lives, in all of their diversity, can thrive.",https://facebook.com/vermontlandtrust/,https://twitter.com/VTLandTrust,https://youtube.com/user/VermontLandTrust,https://instagram.com/vermontlandtrust/,https://linkedin.com/company//vermont-land-trust,vtlandtrust
VERMONT RIVER CONSERVANCY INC,VRC,03-0347147,"['habitat, public access, natural communities, natural areas, parks, riparian, buffers, corridor, water, land, swimming holes, waterfalls, fundraising, technical assistance, development,, Environment, <em>Climate change,</em> Natural resources, Water resources, Rivers and lakes, Water conservation, Wetlands, Water pollution, Land resources, Biodiversity, Environmental education, Nature education, Outdoor education, ']",Montpelier,VT,1356766.0,594705.0,Protect and restore rivers for people and wildlife,https://facebook.com/VTRivers,,,https://instagram.com/vt_rivers,,
Lewis Creek Association,Lewis Creek Association,03-0349148,"[' water quality, <em>climate change,</em> ecological diversity, stormwater, aquatic invasives, Environment, Natural resources, Water resources, Rivers and lakes, Age groups, Adults, Non-governmental organizations, Public charities']",Charlotte,VT,178679.0,161631.0,To protect ecological and community health while promoting social values that support sustainable community development in the watersheds of Vermont’s middle Lake Champlain Valley.,https://facebook.com/lewiscreekassociation,,https://youtube.com/channel/UC2ZlGtaFmB55EvlZTvK3lQQ,https://instagram.com/lewiscreekassociation,,
"Population Media Center, Inc.",PMC,03-0358029,"['global sustainability, <em>climate change,</em> gender equality, family planning, reproductive health, population, storytelling, social impact entertainment, TV, radio, media, Health, Reproductive health care, Information and communications, Communication media, Non-governmental organizations, Public charities', ' To use entertainment-education and mass media to promote social and cultural <em>change</em> by addressing the interconnected']",South Burlington,VT,16501489.0,13596562.0,"To use entertainment-education and mass media to promote social and cultural change by addressing the interconnected issues of the full rights of women and girls, population, and the environment. Our goals are to empower people to live healthier and more prosperous lives and to stabilize global population at a level at which people can live sustainably with the world’s renewable resources.",https://facebook.com/populationmediacenter,https://twitter.com/populationmedia,https://youtube.com/user/PopulationMediaCtr,,https://linkedin.com/company/1357313,populationmedia
"Clean Energy Group, Inc.",CEG,03-0359346,"['energy initiatives and serving as a trusted source of technical expertise and independent analysis in support of communities, nonprofit advocates, and government leaders working on the frontlines of <em>climate change</em> and the clean energy transition. CEG collaborates with partners across the private, public, and nonprofit sectors to accelerate the equitable deployment of clean energy technologies and the development', 'energy, energy storage, resilient power,  energy justice, technical assistance, finance tools, environmental justice, <em>climate,</em> just transition, advocacy, research, outreach, information exchange, peaker replacement, community engagement, Environment, Environmental justice, <em>Climate change,</em> Natural resources, Air quality, Energy resources, Renewable energy, Public safety, Disasters and emergency management']",Montpelier,VT,2604369.0,1850660.0,"Clean Energy Group (CEG), a leading national nonprofit advocacy organization, provides innovative technical, economic, and policy solutions to enable communities to participate equitably in the clean energy transition. Our vision is affordable, reliable, clean energy for all.
CEG fills a critical resource gap by advancing new energy initiatives and serving as a trusted source of technical expertise and independent analysis in support of communities, nonprofit advocates, and government leaders working on the frontlines of climate change and the clean energy transition. CEG collaborates with partners across the private, public, and nonprofit sectors to accelerate the equitable deployment of clean energy technologies and the development of inclusive clean energy programs and policies.",https://facebook.com/Clean Energy Group,https://twitter.com/@cleanenergygrp,https://youtube.com/channel/UC6aFsmZNmmb2E-WHOJFCetA,,https://linkedin.com/company/https://www.linkedin.com/company/113646/,
Tennessee Alliance for Progress,,03-0475220,"['growing movement that will transform our communities from the ground up. We also believe that <em>climate change</em> is a defining issue of our generation and place a particular emphasis on the work of <em>climate</em> justice.', ' A regular statewide conference bringing together leaders and organizers to foster collaboration around common agendas. TAP convenes <em>Climate</em> Nashville and <em>Climate</em> Chattannooga&nbsp; - coalitions specifically dedicated to <em>climate change</em> mitigation. TAP is currently engaged in a statewide listening tour to hear the concerns of residents, with the goal of linking residents to emerging and']",Nashville,TN,0.0,0.0,"TAP's mission is to enable people to participate in building a prosperous, just and sustainable Tennessee. We contribute to this effort by supporting and developing a new generation of grassroots leadership across Tennessee. Through community-based education, critical analysis and fostering solidarity, we strive to support a growing movement that will transform our communities from the ground up. We also believe that climate change is a defining issue of our generation and place a particular emphasis on the work of climate justice.",,https://twitter.com/TAPTN,,,,taptn
Post Oil Solutions,,03-0575791,"['Environment, <em>Climate change,</em> Agriculture, fishing and forestry, Food security, Sustainable agriculture, Environmental education, Non-governmental organizations, Public charities']",Townshend,VT,0.0,0.0,This organization has not provided GuideStar with a mission statement.,,,,,,
